Time(ms),Ax(g),Ay(g),Az(g)
64719,-0.113,0.191,0.835
64820,-0.103,0.186,0.857
64921,-0.017,0.164,0.719
65022,0.218,0.366,0.522
65123,0.551,0.182,0.309
65224,0.339,0.479,0.359
65326,0.412,0.313,0.379
65427,0.247,0.395,0.324
65528,0.220,0.315,0.251
65629,0.217,0.335,0.170
65730,-0.070,-0.049,0.461
65831,-0.224,0.586,0.603
65932,-0.199,0.870,0.821
66033,-0.249,0.766,0.827
66134,-0.293,0.619,0.831
66235,-0.293,0.504,0.973
66336,-0.269,0.515,1.364
66437,-1.643,0.367,1.791
66538,-1.837,0.610,1.970
66639,-1.830,0.528,1.970
66740,-1.669,0.384,1.897
66841,-1.407,0.327,1.866
66942,-1.097,0.505,1.931
67043,-0.142,-0.355,1.101
67144,0.005,-0.047,1.109
67245,-0.034,-0.086,1.062
67346,-0.124,-0.075,1.016
67447,-0.005,0.047,0.919
67548,0.165,0.270,0.715
67649,0.152,0.567,0.605
67750,0.529,0.166,0.545
67851,0.384,0.097,0.598
67952,0.294,0.123,0.455
68053,0.334,0.221,0.316
68154,0.522,0.399,0.342
68255,0.579,0.497,0.560
68356,0.201,0.669,0.291
68457,0.203,0.647,0.490
68558,0.371,0.433,0.807
68659,0.477,0.269,0.884
68760,0.569,0.232,0.940
68861,0.525,0.356,0.940
68962,0.407,0.374,1.024
69063,-0.154,0.656,1.313
69164,-0.259,0.451,1.635
69265,-0.475,0.278,1.869
69366,-0.588,0.207,1.970
69467,-0.659,0.427,1.970
69568,-0.837,0.512,1.970
69669,-0.919,0.311,1.970
69770,-1.476,0.571,1.970
69871,-1.388,0.382,1.970
69972,-0.937,0.336,1.970
70073,-0.674,0.424,1.970
70174,-0.689,0.575,1.970
70275,-0.595,0.416,1.970
70376,-0.166,0.418,0.988
70477,0.110,0.273,0.925
70578,0.283,0.326,0.994
70679,0.521,0.370,1.149
70780,0.433,0.313,1.328
70881,0.396,0.107,1.337
70982,0.488,0.158,0.743
71083,0.700,-0.159,0.945
71184,0.445,-0.011,0.716
71285,0.237,0.475,0.423
71386,0.277,0.458,0.374
71487,0.384,0.224,0.348
71588,0.423,0.047,0.602
71689,0.242,0.094,0.553
71790,0.054,0.453,0.312
71891,-0.068,0.802,0.314
71992,-0.128,0.680,0.407
72093,-0.148,0.448,0.446
72194,-0.021,0.249,1.489
72295,-0.229,0.231,1.586
72396,-0.437,0.480,1.697
72497,-0.531,0.729,1.658
72598,-0.531,0.725,1.659
72699,-1.331,0.206,1.970
72800,-1.154,0.078,1.970
72901,-0.890,0.074,1.970
73002,-0.731,0.216,1.970
73103,-0.764,0.488,1.970
73204,-0.844,0.631,1.946
73305,-0.824,0.250,1.913
73406,-0.776,0.172,1.706
73507,-0.095,0.184,1.342
73608,-0.116,0.564,1.185
73709,-0.247,0.822,1.371
73810,-0.216,0.574,1.337
73911,0.211,-0.072,1.176
74012,0.171,0.221,0.495
74113,0.287,0.401,0.563
74214,0.404,0.639,0.669
74315,0.413,0.621,0.764
74416,0.501,0.177,0.616
74517,0.592,-0.365,0.422
74618,0.416,0.155,0.473
74719,0.383,0.380,0.454
74820,0.410,0.555,0.468
74921,0.357,0.298,0.509
75022,0.346,-0.088,0.489
75123,-0.232,0.637,0.715
75224,-0.292,0.421,0.653
75325,-0.243,0.581,0.743
75426,-0.114,0.658,0.820
75527,-0.086,0.388,0.984
75628,-0.026,-0.027,1.152
75729,-0.701,0.303,1.324
75830,-0.629,0.030,1.275
75931,-0.470,0.131,1.251
76032,-0.539,0.065,1.625
76133,-0.622,-0.178,1.925
76234,-1.174,0.193,1.970
76335,-0.785,-0.391,1.952
76436,-0.512,-0.450,1.753
76537,-0.398,-0.320,1.810
76638,-0.574,-0.409,1.905
76739,-0.029,-0.008,1.552
76840,-0.068,-0.750,1.549
76941,0.041,-0.923,1.450
77042,0.226,-0.583,1.311
77143,0.417,-0.440,1.185
77244,0.586,-0.069,0.631
77345,0.622,-0.366,0.617
77446,0.715,-0.761,0.522
77547,0.926,-0.670,0.528
77648,0.839,-0.371,0.393
77749,0.819,-0.246,0.577
77850,0.799,-0.187,0.624
77951,0.632,-0.350,0.539
78052,0.677,-0.769,0.654
78153,0.692,-0.719,0.614
78254,0.673,-0.352,0.525
78355,0.411,-0.111,1.041
78456,0.270,-0.094,1.211
78557,0.088,-0.366,1.259
78658,0.019,-0.593,1.310
78759,-0.067,-0.506,1.282
78860,0.002,-0.360,1.713
78961,-0.003,-0.257,1.685
79062,-0.322,-0.500,1.725
79163,-0.277,-0.511,1.830
79264,-0.231,-0.275,1.653
79365,-0.193,0.211,1.543
79466,-0.269,-0.159,1.800
79567,-0.300,0.184,1.709
