Time(ms),Ax(g),Ay(g),Az(g)
26484,-1.479,0.242,1.970
26535,-0.132,-0.504,1.888
26586,0.263,0.122,0.896
26637,-0.272,0.287,1.149
26688,1.038,0.082,0.576
26739,0.481,-0.220,0.995
26790,1.010,-0.421,0.138
26841,0.353,0.500,0.602
26891,0.214,0.157,0.362
26943,-0.289,-0.722,1.118
26994,-0.147,0.215,0.935
27045,-0.982,0.010,1.970
27095,0.150,0.190,1.679
27147,-0.733,0.283,1.476
27197,-0.070,-0.650,1.253
27249,0.197,0.408,0.790
27299,0.535,-0.052,0.727
27351,0.787,-0.309,0.438
27401,0.068,0.084,0.362
27453,0.097,-0.476,0.885
27503,-1.519,0.757,1.970
27555,-0.433,0.327,1.946
27605,-0.813,-0.678,1.515
27658,0.890,0.614,0.883
27710,0.323,0.733,0.194
27761,0.718,-0.546,0.457
27811,0.391,0.212,0.539
27863,0.074,0.640,0.674
27913,-0.086,-0.857,1.254
27965,-1.328,0.472,1.970
28015,-0.762,-0.261,1.922
28067,-0.599,0.002,1.464
28118,0.820,-0.070,1.019
28169,0.549,-0.548,0.349
28219,1.040,0.937,0.735
28271,0.560,0.148,0.405
28321,0.430,-0.504,0.155
28373,-0.039,0.670,0.776
28423,0.369,-0.291,0.843
28475,-0.576,-0.171,1.291
28525,-1.126,0.531,1.946
28577,-0.204,-0.448,1.807
28628,-0.290,0.186,1.970
28679,0.467,-0.157,0.438
28730,0.256,0.288,0.581
28781,1.094,-0.026,0.553
28831,0.511,-0.525,0.360
28886,-0.763,-0.063,1.717
28938,0.553,-0.217,1.167
28989,0.235,0.066,1.502
29039,0.879,-0.248,0.422
29091,0.288,0.426,0.322
29142,0.711,-0.187,0.113
29193,0.333,-0.286,0.129
29243,0.547,0.284,0.953
29295,0.269,-0.732,0.857
29346,-0.026,0.569,1.259
29397,-1.916,0.282,1.970
29447,-0.429,-0.549,1.824
29499,0.026,0.360,0.926
29549,0.028,-0.081,1.277
29601,0.999,0.431,0.583
29651,0.051,0.100,0.544
29703,0.889,-0.561,0.242
29753,0.437,0.135,1.006
29805,0.384,0.126,0.869
29855,-0.789,-0.292,1.089
29907,-0.271,0.010,1.016
29958,-0.112,-0.655,1.814
30009,0.377,0.346,1.620
30059,0.137,0.627,0.767
30114,0.083,0.138,1.672
30166,-0.238,0.215,1.836
30217,-1.558,0.528,1.970
30268,-0.598,0.086,1.254
30319,0.501,-1.102,0.729
30369,0.810,0.466,1.001
30421,0.905,0.529,0.577
30471,0.779,0.283,0.439
30523,0.311,0.270,0.015
30574,0.619,0.030,0.562
30625,0.272,0.157,0.638
30675,-0.392,0.735,0.981
30727,-0.520,-0.545,1.793
30777,-1.168,-0.334,1.970
30829,-0.229,-0.081,1.462
30879,0.160,-0.434,0.534
30931,0.580,0.022,0.705
30981,0.771,-0.622,0.354
31033,0.643,0.251,0.317
31083,0.498,0.201,0.500
31135,0.622,-0.477,0.646
31186,-0.034,0.781,0.826
31237,-0.043,0.184,1.109
31287,-0.930,-0.168,1.623
31342,0.516,-0.285,0.287
31394,0.943,0.816,0.570
31445,0.158,-0.127,0.533
31496,0.012,-0.149,0.578
31547,-0.624,0.849,1.364
31598,-0.470,-0.152,1.710
31649,-1.056,-0.139,1.891
31699,-1.034,0.656,1.778
31751,0.845,-0.621,0.692
31801,0.350,0.183,1.368
31853,1.012,-0.363,0.349
31904,0.432,0.316,0.273
31955,0.822,-0.215,0.091
32006,0.207,-0.752,0.368
32057,0.331,0.207,0.673
32108,-0.212,-0.353,1.454
32159,-0.150,0.170,1.570
32209,-1.768,0.365,1.821
32261,-0.727,-0.399,1.765
32311,0.696,0.287,0.525
32363,-0.007,0.240,1.390
32413,0.884,-0.171,0.036
32465,0.498,-0.065,0.692
32515,1.042,-0.937,0.474
32572,-0.310,0.277,1.162
32623,0.197,-0.324,1.030
32674,0.484,0.633,0.516
32724,0.328,0.099,0.554
32776,0.410,-0.700,0.602
32826,-0.135,0.102,0.934
32878,-0.070,-0.247,1.444
32928,-1.140,0.620,1.970
32980,-0.842,0.033,1.449
33030,0.307,-0.913,0.958
33082,0.604,-0.124,1.188
33133,0.792,0.162,0.601
33184,0.664,-0.516,0.337
33235,0.371,0.700,0.142
33286,0.731,-0.603,0.544
33337,0.218,0.092,0.810
33388,-0.177,0.714,0.779
33439,-0.246,-0.490,1.730
33490,-1.343,0.224,1.970
33540,-0.346,-0.225,1.735
33592,0.046,0.090,0.845
33643,0.376,-0.490,0.608
33694,0.760,-0.300,0.392
33744,0.952,0.796,0.670
33796,0.634,-0.055,0.455
33847,0.421,-0.573,0.466
33898,-0.236,0.484,1.109
33949,0.175,-0.181,1.200
34000,-0.890,-0.153,1.372
34051,-1.257,0.366,1.970
34102,0.167,-0.757,1.610
34152,0.059,0.330,1.471
34204,0.652,-0.281,0.247
34255,0.371,0.278,0.444
34306,1.055,0.099,0.501
34356,0.506,-0.312,0.281
34408,0.413,0.690,0.818
34458,-0.287,0.362,1.628
34510,-0.257,-0.053,1.084
34560,-1.926,0.100,1.970
34612,-1.043,0.124,1.970
34663,0.241,-0.118,1.166
34714,-0.139,0.748,1.127
34764,1.142,-0.688,0.364
34816,0.282,0.064,0.657
34867,1.044,-0.448,0.271
34918,-0.064,0.635,0.473
34968,0.487,0.003,0.552
35027,1.033,-0.771,0.221
35078,0.218,0.868,0.757
35129,0.726,-0.258,0.602
35179,-0.429,0.148,1.009
35231,-0.137,-0.211,1.230
35282,-0.518,-0.787,1.770
35333,0.109,0.440,1.656
35384,-0.267,0.303,0.960
35435,-0.087,-0.515,1.114
35486,0.428,0.285,0.367
35537,0.446,0.650,0.634
35588,0.689,-0.060,0.561
35639,-0.347,0.486,0.998
35689,0.000,-0.740,1.071
35741,-1.112,0.545,1.970
