Time(ms),Ax(g),Ay(g),Az(g)
23910,0.448,0.325,0.418
23961,1.034,-0.388,0.566
24012,0.627,0.055,0.493
24062,0.611,-0.105,0.665
24114,0.213,0.724,0.733
24164,0.024,-0.022,0.812
24216,-0.583,-0.722,1.497
24267,-0.221,0.371,1.637
24318,-1.347,-0.553,1.946
24369,-0.168,-0.116,1.417
24420,0.374,0.396,0.509
24470,0.718,-0.353,0.449
24522,0.993,0.560,0.558
24572,0.265,0.486,0.371
24624,0.319,-0.215,0.806
24675,-0.127,0.135,1.719
24726,-0.877,0.290,1.943
24776,-1.214,-0.219,1.848
24828,0.661,0.069,1.066
24878,0.385,-0.535,0.605
24930,0.822,-0.141,0.619
24980,0.770,0.360,0.549
25032,0.770,-0.570,0.734
25083,0.256,0.543,0.504
25141,0.724,0.170,0.508
25192,0.714,-0.343,0.320
25243,0.124,0.799,0.495
25293,0.250,0.048,0.550
25345,-0.478,-0.045,1.470
25396,-0.338,-0.090,1.285
25447,-0.601,-0.333,1.970
25498,-1.482,0.522,1.970
25549,0.286,-0.695,0.346
25599,0.309,-0.578,0.718
25651,0.738,0.817,0.294
25701,0.612,-0.129,0.256
25753,0.533,-0.652,0.325
25804,0.179,0.237,0.628
25855,-0.072,-0.080,0.916
25905,-1.034,0.736,1.635
25957,-1.485,0.085,1.970
26007,0.139,-0.390,1.322
26059,0.016,0.673,1.191
26110,0.713,-0.537,0.182
26161,0.541,-0.093,0.435
26211,0.773,0.723,0.724
26263,0.153,0.079,0.563
26314,0.158,-0.142,0.974
26365,-1.057,0.766,1.970
26417,-1.045,-0.114,1.833
26468,0.306,-0.193,1.315
26518,0.425,0.222,0.791
26570,1.166,-0.418,0.690
26621,0.727,0.411,0.394
26672,0.987,-0.082,0.536
26723,0.063,-0.137,0.539
26774,0.116,-0.127,0.688
26824,-1.386,-0.515,1.970
26876,-0.123,0.744,1.647
26927,-0.259,0.267,1.700
26978,-0.473,-0.265,1.621
27028,0.646,-0.279,0.415
27080,0.503,-0.348,0.438
27130,0.763,0.230,0.270
27182,0.476,0.400,0.096
27232,0.350,-0.261,0.773
27284,0.192,0.270,1.225
27334,-0.216,0.291,1.583
27386,-1.602,-0.367,1.970
27437,-0.538,0.175,1.886
27488,0.541,0.126,0.717
27538,0.769,0.202,0.635
27593,0.248,-0.752,1.157
27645,-1.073,0.823,1.970
27696,-0.474,-0.364,1.417
27747,-0.634,-0.650,1.552
27798,0.845,0.773,0.862
27848,0.308,-0.236,0.449
27900,0.931,-0.334,0.583
27951,0.745,0.167,0.585
28002,0.509,0.076,0.606
28052,-0.006,0.407,0.583
28104,-0.290,0.337,0.964
28154,-0.795,-0.443,1.772
28206,-1.660,0.294,1.970
28257,-0.043,-0.142,1.852
