Time(ms),Ax(g),Ay(g),Az(g)
77250,0.740,0.271,-0.367
77451,0.681,-0.668,-0.399
77652,-0.234,-0.511,-0.524
77853,-1.450,-0.004,1.487
78054,-1.980,0.281,1.970
78255,-1.980,2.000,1.970
78456,-1.980,1.585,1.970
78657,0.345,-0.176,1.213
78858,0.560,-0.098,-0.140
79059,1.184,2.000,0.288
79260,1.313,2.000,0.551
79461,0.613,0.535,-0.505
79662,1.000,-1.745,0.170
79863,1.123,-2.000,0.479
80064,1.064,-0.544,1.454
80265,-0.082,0.772,1.440
80466,0.162,-1.087,1.654
80667,0.359,-1.217,1.936
80868,1.556,-1.647,1.480
81069,1.470,1.221,0.544
81270,0.685,0.661,0.348
81471,0.891,-0.496,0.401
81672,1.066,-0.274,0.183
81873,0.708,-0.382,-0.244
82074,0.943,-0.595,-0.311
82275,-0.134,-0.798,-0.102
82476,-1.542,0.174,1.314
82685,1.053,-1.268,1.650
82886,-0.181,0.565,1.173
83087,-0.161,0.961,1.381
83288,-0.460,-0.950,1.970
83489,1.068,-2.000,1.910
83690,1.153,0.794,1.618
83891,0.917,1.004,0.718
84092,0.694,0.910,1.096
84293,0.387,0.082,0.668
84494,0.723,-0.512,-0.111
84695,0.703,-0.025,-0.527
84896,0.623,-0.403,-0.059
85097,-0.975,-0.897,-0.079
85298,-1.980,1.078,1.970
85499,-1.980,2.000,1.970
85700,-1.980,1.793,1.970
85901,-1.980,1.065,1.970
86102,0.575,-0.591,1.173
86303,0.803,1.346,0.153
86504,0.940,1.779,0.044
86705,0.766,-0.595,-0.270
86906,0.534,-0.401,-0.345
87107,0.854,-2.000,0.215
87308,1.359,-2.000,1.073
87509,-0.070,0.525,1.119
87710,-0.578,0.604,1.970
87911,0.107,-2.000,1.561
88112,1.588,-0.970,1.896
88313,1.639,-0.325,1.520
88514,0.878,1.320,1.029
88715,0.559,0.807,0.962
88916,0.788,-0.340,0.251
89117,0.746,-0.497,-0.239
89318,0.844,-0.381,-0.472
89519,0.306,-0.406,-0.199
89720,-1.081,-1.104,0.606
89921,-1.335,-0.701,0.830
90122,-1.980,2.000,1.970
90323,-1.980,2.000,1.970
90524,-1.980,0.650,1.970
90725,0.613,-0.379,0.924
90926,0.820,1.061,0.203
91127,1.402,2.000,0.421
91328,0.554,0.069,-0.419
91529,1.068,-1.563,-0.022
91730,1.077,-2.000,0.444
91931,0.947,-2.000,0.750
92132,0.796,-0.923,1.566
92333,-0.277,0.816,1.196
92534,-0.180,-0.189,1.940
92735,1.126,-2.000,1.420
92936,1.509,0.364,1.825
93137,0.808,1.088,0.783
93338,0.942,0.406,0.708
93539,0.609,-0.439,0.246
93741,0.809,-0.132,-0.230
93942,0.739,-0.287,-0.408
94143,-0.161,-0.870,-0.193
94344,-1.550,0.426,1.697
94545,-1.980,2.000,1.970
94746,-1.980,1.584,1.970
94947,0.435,0.175,1.102
95148,-0.080,0.071,1.217
95349,0.782,-0.541,0.175
95550,1.122,1.946,0.473
95751,0.694,0.859,-0.062
95952,1.146,-0.704,-0.104
96153,1.134,-2.000,0.204
96354,0.955,-1.634,1.060
96555,0.276,0.216,1.192
96756,0.447,0.362,1.250
96957,-0.013,0.805,1.970
97158,0.496,-2.000,1.764
97359,1.521,-1.267,1.583
97560,1.362,1.251,0.889
97761,1.027,0.663,0.089
97962,0.637,-0.035,0.528
98163,0.570,-0.605,-0.116
98364,0.699,-0.014,-0.289
98565,0.634,-0.677,-0.502
98766,0.637,-0.355,-0.332
98967,-0.805,-1.220,0.378
99168,-1.980,1.117,1.970
99369,-1.980,2.000,1.970
99570,-1.980,1.347,1.970
99771,0.336,-0.099,1.041
99972,0.636,-0.162,-0.067
100173,0.622,0.366,0.364
100374,1.604,2.000,0.539
100575,0.442,0.249,-0.452
100776,0.948,-1.809,-0.005
100977,1.200,-2.000,0.274
101178,1.184,-0.938,1.525
101379,-0.157,0.333,1.455
101580,-0.246,0.594,1.210
101781,-0.333,-0.152,1.970
101982,1.056,-2.000,1.633
102183,1.736,0.464,1.386
102384,0.679,1.218,0.731
102585,1.002,0.406,0.604
102786,0.620,-0.256,0.276
102987,0.445,-0.619,0.194
103188,0.678,-0.333,-0.362
103389,0.625,-0.062,-0.530
103590,-0.211,-0.673,-0.192
103791,-1.296,0.062,0.930
103992,-1.980,2.000,1.970
104193,-1.980,1.400,1.970
104394,-0.043,0.259,1.329
104595,-0.350,-0.062,1.606
104796,0.682,-0.419,0.381
104997,1.071,1.943,0.211
105198,0.588,0.914,-0.207
105399,0.895,-0.884,-0.331
105600,0.814,-2.000,0.029
105801,1.088,-2.000,0.638
106002,0.875,-0.564,1.328
106203,0.763,-0.084,1.436
106404,-0.261,0.832,1.970
106605,-0.239,-1.706,1.858
106806,1.064,-2.000,1.786
107007,1.107,-1.741,1.954
107208,1.440,0.589,1.543
107409,0.528,1.115,1.348
107610,0.757,0.354,0.392
107811,0.862,0.252,0.050
108012,1.036,0.025,0.061
108213,0.492,-0.250,-0.531
108414,0.458,0.210,-0.017
108615,-0.668,-0.980,-0.007
108816,-1.165,-0.319,1.244
109017,-1.022,-0.498,0.421
109218,-1.944,2.000,1.970
109419,-1.980,1.677,1.970
109620,-1.980,0.802,1.970
109821,-0.415,-0.395,1.905
110022,0.823,-0.595,-0.049
110223,0.873,-0.553,0.305
110424,1.387,1.608,0.135
110625,0.800,2.000,-0.028
110826,0.140,-0.938,0.014
