Time(ms),Ax(g),Ay(g),Az(g)
58652,0.240,0.982,1.180
58753,-0.029,0.299,0.328
58854,0.225,0.210,-0.245
58955,0.499,0.328,-0.316
59056,0.530,-0.272,0.011
59157,0.339,-0.612,0.526
59258,-0.390,-0.931,0.289
59359,-1.440,-0.839,0.644
59460,-1.761,0.553,1.522
59568,1.382,-2.000,0.230
59669,1.082,-1.567,0.901
59770,1.085,-0.312,1.589
59871,0.932,0.419,0.996
59972,-0.043,0.858,0.992
60073,0.319,0.407,0.843
60174,0.492,-1.523,0.977
60275,0.600,-2.000,1.076
60376,0.467,-2.000,1.389
60477,1.007,-0.965,1.689
60578,1.095,1.011,1.248
60679,0.530,1.136,1.336
60780,0.490,0.957,0.482
60881,0.200,0.432,-0.016
60982,0.442,-0.041,-0.235
61083,0.598,-0.331,-0.350
61184,0.580,-0.121,-0.254
61285,0.565,-0.198,-0.501
61386,1.175,-0.471,-0.069
61487,1.193,-0.886,-0.292
61588,-0.787,0.064,-0.195
61689,-1.671,0.599,1.243
61790,-1.980,1.166,1.970
61891,-1.980,2.000,1.970
61992,-1.980,2.000,1.970
62093,-1.980,1.884,1.970
62194,-1.980,0.740,1.970
62295,-1.980,0.332,1.970
62396,-1.675,-0.626,1.970
62497,0.221,-1.130,0.976
62598,1.319,0.611,0.229
62699,1.075,2.000,0.386
62800,0.420,2.000,0.590
62901,-0.015,1.754,0.809
63002,0.590,0.249,-0.397
63103,0.845,-0.753,0.084
63204,1.250,-1.680,0.169
63305,1.231,-2.000,0.492
63406,1.020,-2.000,0.763
63507,1.051,-0.049,0.956
63608,0.404,0.726,0.949
63709,-0.193,0.730,1.259
63810,0.142,-0.298,1.238
63911,-0.594,-2.000,1.970
64012,0.026,-2.000,1.796
64113,0.204,-2.000,1.877
64214,0.645,-1.524,1.970
64315,0.989,-1.328,1.897
64416,0.767,-0.778,1.920
64517,0.954,1.729,0.525
64618,0.926,1.074,-0.045
64719,0.896,0.940,0.147
64820,0.621,0.146,0.354
64921,0.074,-0.314,0.187
65022,0.291,-0.600,-0.332
65123,0.241,-0.954,-0.865
65224,0.632,-0.210,-0.749
65325,0.514,0.295,-0.055
65426,0.653,-0.002,-0.146
65527,-1.331,-1.146,0.578
65628,-1.140,-0.077,0.370
65729,-0.865,0.992,-0.373
65830,-0.985,1.957,0.390
65931,-1.820,1.502,1.882
66032,-1.980,1.848,1.970
66133,-1.980,2.000,1.970
66234,-1.980,2.000,1.970
66335,-1.980,2.000,1.970
66436,-1.980,1.439,1.970
66537,-1.980,0.635,1.970
66638,-1.980,0.344,1.970
66739,-1.831,0.161,1.970
66840,-0.513,-0.495,1.336
66941,0.227,-0.426,0.377
67042,0.138,-0.205,0.646
67143,-0.279,-0.476,1.586
67244,-0.565,-0.633,1.953
67345,0.237,-0.877,1.600
67446,1.189,0.846,0.469
67547,1.325,1.511,0.711
67648,0.555,2.000,0.812
67749,-0.192,1.877,1.212
67850,0.558,2.000,0.803
67951,1.235,2.000,-0.018
68052,0.904,1.444,-0.264
68153,0.683,0.991,-0.319
68254,0.072,0.639,0.186
68355,0.081,-0.516,0.514
68456,0.760,-2.000,1.301
68557,1.060,-2.000,1.554
68658,1.401,-2.000,1.012
68759,1.260,-1.892,0.736
68860,1.310,-1.073,1.073
68961,1.164,-0.116,1.569
69062,1.152,-0.558,1.126
69163,0.965,0.425,0.748
69264,0.450,1.003,0.689
69365,-0.293,1.083,1.097
69466,-0.202,-2.000,1.771
69567,-0.235,-2.000,1.494
69668,0.064,-2.000,1.761
69769,0.306,-1.560,1.808
69870,0.282,-1.836,1.584
69971,0.443,-2.000,1.439
70072,0.582,-2.000,1.287
70173,0.398,-1.580,1.793
70274,0.632,-0.942,1.937
70375,0.997,-1.088,1.662
70476,1.108,0.874,1.382
70577,0.695,1.324,0.846
70678,0.888,1.305,0.496
70779,0.797,1.046,0.234
70880,0.791,0.460,-0.085
70981,0.844,-0.018,-0.288
71082,0.202,-0.059,0.214
71183,0.214,-0.535,-0.309
71284,0.446,-0.694,-0.546
71385,0.478,-0.493,-0.557
71486,0.779,-0.190,0.582
71587,0.312,-0.348,0.324
71688,-0.152,-0.382,0.815
71789,-0.347,-1.026,0.287
71890,-0.704,-0.455,-0.181
71991,-0.733,0.343,-0.565
72092,-1.274,0.596,0.307
72193,-1.548,-0.186,1.405
72294,-1.980,0.908,1.970
72395,-1.980,2.000,1.970
72496,0.649,-0.547,0.356
72597,1.015,0.884,0.215
72698,1.075,2.000,0.342
72799,0.326,-0.630,0.069
72900,0.552,-2.000,0.597
73001,1.202,-1.359,1.638
73102,0.157,1.048,1.517
73203,-0.221,-0.967,1.858
73304,0.211,-2.000,1.240
73405,1.035,1.699,1.137
73506,0.106,0.353,0.812
73607,0.269,-0.870,-0.043
73708,0.987,0.269,-0.293
73809,0.578,-0.357,-0.260
73910,-1.186,-0.629,-0.377
74011,-1.823,1.784,1.653
74112,-1.980,2.000,1.970
74213,-1.980,0.715,1.970
74314,0.538,-1.174,1.177
74415,1.486,2.000,0.116
74516,0.925,0.685,-0.315
74617,-0.014,-2.000,0.427
74718,0.757,-2.000,1.692
74819,1.118,0.111,1.908
74920,0.065,1.430,1.970
75021,0.039,0.186,1.264
75122,0.353,-2.000,1.405
75223,1.177,-1.566,1.264
75324,1.435,1.466,1.914
75430,-1.856,1.399,1.500
75531,-1.980,2.000,1.970
75632,-1.980,2.000,1.970
75733,-0.491,-0.403,1.691
75834,0.572,-0.493,1.439
75935,1.212,0.685,0.094
76036,1.671,2.000,0.143
76137,0.592,1.839,0.026
76238,-0.089,-2.000,0.304
76339,0.718,-2.000,1.527
76440,0.285,0.868,1.598
